# CFTC public record (grade-A leg, board 2026-09-14); knowable_at = report Tuesday + 3 days (point-in-time rule).
report_date,contract_market_name,open_interest_all,lev_money_long,lev_money_short,asset_mgr_long,asset_mgr_short,lev_money_net,knowable_at
2017-12-19,BITCOIN-USD,2821,255,353,0,0,-98.0,2017-12-22
2017-12-26,BITCOIN-USD,3737,259,1138,0,0,-879.0,2017-12-29
2018-01-02,BITCOIN-USD,4065,274,380,0,0,-106.0,2018-01-05
2018-01-09,BITCOIN-USD,4624,521,654,0,0,-133.0,2018-01-12
2018-01-16,BITCOIN-USD,4736,379,608,0,0,-229.0,2018-01-19
2018-01-23,BITCOIN-USD,5193,1142,518,0,0,624.0,2018-01-26
2018-01-30,BITCOIN-USD,5738,895,2974,0,0,-2079.0,2018-02-02
2018-02-06,BITCOIN-USD,6932,814,3572,0,0,-2758.0,2018-02-09
2018-02-13,BITCOIN-USD,5704,619,2861,0,119,-2242.0,2018-02-16
2018-02-20,BITCOIN-USD,6050,1107,3407,0,255,-2300.0,2018-02-23
2018-02-27,BITCOIN-USD,6032,1561,3741,0,104,-2180.0,2018-03-02
2018-03-06,BITCOIN-USD,5563,1451,3824,0,110,-2373.0,2018-03-09
2018-03-13,BITCOIN-USD,6429,2278,4737,0,41,-2459.0,2018-03-16
2018-03-20,BITCOIN-USD,6261,2214,4487,220,0,-2273.0,2018-03-23
2018-03-27,BITCOIN-USD,6322,2221,4729,289,0,-2508.0,2018-03-30
2018-04-03,BITCOIN-USD,6198,1810,4773,379,0,-2963.0,2018-04-06
2018-04-10,BITCOIN,1702,902,1108,122,0,-206.0,2018-04-13
2018-04-10,BITCOIN-USD,6614,1740,4826,424,0,-3086.0,2018-04-13
2018-04-17,BITCOIN,2029,1053,1313,122,0,-260.0,2018-04-20
2018-04-17,BITCOIN-USD,6433,1630,4700,343,0,-3070.0,2018-04-20
2018-04-24,BITCOIN,2380,1194,1682,105,0,-488.0,2018-04-27
2018-04-24,BITCOIN-USD,5753,1838,4099,82,0,-2261.0,2018-04-27
2018-05-01,BITCOIN,1991,1198,1348,0,0,-150.0,2018-05-04
2018-05-01,BITCOIN-USD,5816,1920,3965,144,0,-2045.0,2018-05-04
2018-05-08,BITCOIN,2485,1284,1707,0,0,-423.0,2018-05-11
2018-05-08,BITCOIN-USD,6295,2211,4214,166,0,-2003.0,2018-05-11
2018-05-15,BITCOIN,2505,1338,1657,0,29,-319.0,2018-05-18
2018-05-15,BITCOIN-USD,6048,1674,4008,135,28,-2334.0,2018-05-18
2018-05-22,BITCOIN,2684,1323,1872,0,29,-549.0,2018-05-25
2018-05-22,BITCOIN-USD,5368,1755,3312,0,27,-1557.0,2018-05-25
2018-05-29,BITCOIN,2714,1172,1812,38,25,-640.0,2018-06-01
2018-05-29,BITCOIN-USD,5480,1622,3566,150,40,-1944.0,2018-06-01
2018-06-05,BITCOIN,2556,1126,1845,47,29,-719.0,2018-06-08
2018-06-05,BITCOIN-USD,5618,1455,3915,153,28,-2460.0,2018-06-08
2018-06-12,BITCOIN,2643,1349,1634,0,108,-285.0,2018-06-15
2018-06-12,BITCOIN-USD,5970,1420,3746,159,72,-2326.0,2018-06-15
2018-06-19,BITCOIN,2633,1478,1414,52,59,64.0,2018-06-22
2018-06-19,BITCOIN-USD,5365,1486,3632,212,0,-2146.0,2018-06-22
2018-06-26,BITCOIN,2687,1508,1505,0,111,3.0,2018-06-29
