# CFTC public record (grade-A leg, board 2026-09-14); knowable_at = report Tuesday + 3 days (point-in-time rule).
report_date,contract_market_name,open_interest_all,lev_money_long,lev_money_short,asset_mgr_long,asset_mgr_short,lev_money_net,knowable_at
2021-04-06,ETHER CASH SETTLED,1772,794,1414,0,55,-620.0,2021-04-09
2021-04-13,ETHER CASH SETTLED,2017,757,1495,0,32,-738.0,2021-04-16
2021-04-20,ETHER CASH SETTLED,2034,790,1536,60,33,-746.0,2021-04-23
2021-04-27,ETHER CASH SETTLED,2675,1011,1945,60,0,-934.0,2021-04-30
2021-05-04,ETHER CASH SETTLED,2416,950,1858,66,0,-908.0,2021-05-07
2021-05-11,ETHER CASH SETTLED,2843,1123,2089,0,70,-966.0,2021-05-14
2021-05-18,ETHER CASH SETTLED,2969,1332,2264,0,84,-932.0,2021-05-21
2021-05-25,ETHER CASH SETTLED,3665,1580,2626,0,62,-1046.0,2021-05-28
2021-06-01,ETHER CASH SETTLED,2819,1177,2310,0,64,-1133.0,2021-06-04
2021-06-08,ETHER CASH SETTLED,3527,1346,2662,43,80,-1316.0,2021-06-11
2021-06-15,ETHER CASH SETTLED,3470,1448,2720,0,75,-1272.0,2021-06-18
2021-06-22,ETHER CASH SETTLED,2896,1174,2217,0,126,-1043.0,2021-06-25
2021-06-29,ETHER CASH SETTLED,2733,1136,2087,0,81,-951.0,2021-07-02
2021-07-06,ETHER CASH SETTLED,3428,1142,2625,0,120,-1483.0,2021-07-09
2021-07-13,ETHER CASH SETTLED,3252,1074,2306,0,142,-1232.0,2021-07-16
2021-07-20,ETHER CASH SETTLED,3267,932,2282,0,118,-1350.0,2021-07-23
2021-07-27,ETHER CASH SETTLED,3133,657,2380,25,75,-1723.0,2021-07-30
2021-08-03,ETHER CASH SETTLED,3501,778,2788,25,51,-2010.0,2021-08-06
2021-08-10,ETHER CASH SETTLED,3794,876,3073,50,42,-2197.0,2021-08-13
2021-08-17,ETHER CASH SETTLED,3989,1036,3286,54,80,-2250.0,2021-08-20
2021-08-24,ETHER CASH SETTLED,3796,935,3173,54,47,-2238.0,2021-08-27
2021-08-31,ETHER CASH SETTLED,4029,1093,3366,57,58,-2273.0,2021-09-03
2021-09-07,ETHER CASH SETTLED,4272,1088,3626,57,30,-2538.0,2021-09-10
2021-09-14,ETHER CASH SETTLED,4195,981,3618,62,0,-2637.0,2021-09-17
2021-09-21,ETHER CASH SETTLED,3972,842,3232,0,11,-2390.0,2021-09-24
2021-09-28,ETHER CASH SETTLED,4296,1162,3356,0,85,-2194.0,2021-10-01
2021-10-05,ETHER CASH SETTLED,4736,1242,3892,0,12,-2650.0,2021-10-08
2021-10-12,ETHER CASH SETTLED,4677,1328,3741,77,21,-2413.0,2021-10-15
2021-10-19,ETHER CASH SETTLED,5024,1428,3701,136,0,-2273.0,2021-10-22
2021-10-26,ETHER CASH SETTLED,5230,1350,3931,141,0,-2581.0,2021-10-29
2021-11-02,ETHER CASH SETTLED,5155,1483,4331,134,0,-2848.0,2021-11-05
2021-11-09,ETHER CASH SETTLED,5354,1627,4445,124,0,-2818.0,2021-11-12
2021-11-16,ETHER CASH SETTLED,5339,1689,4431,43,4,-2742.0,2021-11-19
2021-11-23,ETHER CASH SETTLED,5244,1609,4136,71,74,-2527.0,2021-11-26
2021-11-30,ETHER CASH SETTLED,4981,1418,3953,36,74,-2535.0,2021-12-03
2021-12-07,ETHER CASH SETTLED,4535,1205,3248,25,74,-2043.0,2021-12-10
2021-12-14,ETHER CASH SETTLED,4910,1803,3368,0,113,-1565.0,2021-12-17
2021-12-14,MICRO ETHER,6342,2795,4228,0,0,-1433.0,2021-12-17
2021-12-21,ETHER CASH SETTLED,4903,1462,3288,36,111,-1826.0,2021-12-24
2021-12-21,MICRO ETHER,15798,11267,12553,0,0,-1286.0,2021-12-24
2021-12-28,ETHER CASH SETTLED,4554,1343,3223,0,111,-1880.0,2021-12-31
2021-12-28,MICRO ETHER,20861,14221,16992,0,0,-2771.0,2021-12-31
2022-01-04,ETHER CASH SETTLED,3530,1092,2604,43,111,-1512.0,2022-01-07
2022-01-04,MICRO ETHER,10140,2092,7847,0,0,-5755.0,2022-01-07
2022-01-11,ETHER CASH SETTLED,3880,1031,2408,17,109,-1377.0,2022-01-14
2022-01-11,MICRO ETHER,35375,23497,27029,0,0,-3532.0,2022-01-14
2022-01-18,ETHER CASH SETTLED,3868,879,2477,0,109,-1598.0,2022-01-21
2022-01-18,MICRO ETHER,51794,40388,42367,0,0,-1979.0,2022-01-21
2022-01-25,ETHER CASH SETTLED,4186,679,2581,0,207,-1902.0,2022-01-28
2022-01-25,MICRO ETHER,77729,63422,67784,0,0,-4362.0,2022-01-28
2022-02-01,ETHER CASH SETTLED,3611,651,2312,0,179,-1661.0,2022-02-04
2022-02-01,MICRO ETHER,20838,7461,15910,0,0,-8449.0,2022-02-04
2022-02-08,ETHER CASH SETTLED,3262,396,2044,0,97,-1648.0,2022-02-11
2022-02-08,MICRO ETHER,30766,16059,25579,88,0,-9520.0,2022-02-11
2022-02-15,ETHER CASH SETTLED,3539,853,2065,0,135,-1212.0,2022-02-18
2022-02-15,MICRO ETHER,28261,15307,22309,88,0,-7002.0,2022-02-18
2022-02-22,ETHER CASH SETTLED,3782,992,2442,0,182,-1450.0,2022-02-25
2022-02-22,MICRO ETHER,33643,16977,12347,88,0,4630.0,2022-02-25
2022-03-01,ETHER CASH SETTLED,3104,749,1938,0,214,-1189.0,2022-03-04
2022-03-01,MICRO ETHER,19406,996,16238,88,0,-15242.0,2022-03-04
2022-03-08,ETHER CASH SETTLED,3158,1108,2159,0,238,-1051.0,2022-03-11
2022-03-08,MICRO ETHER,22053,8403,16988,88,0,-8585.0,2022-03-11
