# Operator cross-leg audit — funding is a DISQUALIFIED leg (price-derived, prereg SS2); this measures how much of the OI leg it duplicates. Research prices. z is the AUDIT-scale robust z (core arithmetic, gap-tolerant window) — not the sealed strict-90 statistic.
coin,n_raw,spearman_funding_z_vs_dlnOI_z,n_orth,spearman_after_momentum_orthogonalization
ADA,20,0.7246,19,0.5947
AVAX,21,0.1622,20,0.3925
BCH,20,-0.4006,19,-0.373
BNB,21,0.3903,20,0.4772
BTC,21,0.5182,20,0.6346
DOGE,9,-0.5333,8,-0.3333
DOT,21,0.4339,20,0.2286
ETH,21,-0.2079,20,-0.0105
LINK,2,,0,
LTC,20,0.1849,19,0.0649
SOL,18,-0.0836,17,-0.1299
XRP,21,-0.0643,20,-0.2241
POOLED,215,0.1688,202,0.1596
