# SPEC-DEVELOPMENT DATA (pre-seal rows, K16) — instrument preview only, never scored, param_version=bd6e36498ef6b1fb80056873cca6998c03e1fbb8268aff28b61a0864c022877b
# SS7 equity-first instantiation; research-only under the seal until its own board note. CoinGecko/FMP/stooq dailies are RESEARCH-ONLY prices, not the sealed price source.
ticker,settlement_date,q_dlnShortInterest,p_dlnPrice_matching_window,zq,zp,D,measured
AAPL,2026-03-31,,,,,,False
AAPL,2026-04-15,0.058605,0.048604,,,,False
AAPL,2026-04-30,0.001877,0.018298,,,,False
AAPL,2026-05-15,0.030043,0.101139,,,,False
AAPL,2026-05-29,0.116216,0.038647,,,,False
AAPL,2026-06-15,-0.077588,-0.051418,,,,False
AAPL,2026-06-30,-0.026143,-0.024106,,,,False
AAPL,2026-07-15,0.041957,0.123816,,,,False
AAPL,2026-07-31,-0.034302,-0.058438,,,,False
AAPL,2026-08-14,-0.196638,-0.009694,,,,False
AAPL,2026-08-31,0.183437,0.035072,,,,False
AMZN,2026-03-31,,,,,,False
AMZN,2026-04-15,0.05942,0.176608,,,,False
AMZN,2026-04-30,-0.022825,0.064513,,,,False
AMZN,2026-05-15,0.137271,-0.003477,,,,False
AMZN,2026-05-29,-0.120438,0.02431,,,,False
AMZN,2026-06-15,0.067968,-0.095377,,,,False
AMZN,2026-06-30,0.014014,-0.031715,,,,False
AMZN,2026-07-15,0.060107,0.067408,,,,False
AMZN,2026-07-31,-0.07938,0.06315,,,,False
AMZN,2026-08-14,-0.032357,-0.033434,,,,False
AMZN,2026-08-31,-0.03451,-0.011026,,,,False
C,2026-03-31,,,,,,False
C,2026-04-15,-0.041749,0.149441,,,,False
C,2026-04-30,0.004086,-0.028577,,,,False
C,2026-05-15,0.030474,-0.036281,,,,False
C,2026-05-29,0.017983,0.019895,,,,False
C,2026-06-15,0.062295,0.11476,,,,False
C,2026-06-30,-0.177688,-0.008891,,,,False
C,2026-07-15,0.055728,-0.036897,,,,False
C,2026-07-31,-0.152925,-0.018254,,,,False
C,2026-08-14,0.192208,0.05064,,,,False
C,2026-08-31,-0.132834,-0.056926,,,,False
CVX,2026-03-31,,,,,,False
CVX,2026-04-15,-0.04785,-0.112366,,,,False
CVX,2026-04-30,-0.075401,0.044426,,,,False
CVX,2026-05-15,0.075369,-0.011498,,,,False
CVX,2026-05-29,0.134018,-0.046266,,,,False
CVX,2026-06-15,-0.059613,-0.011354,,,,False
CVX,2026-06-30,-0.135343,-0.084636,,,,False
CVX,2026-07-15,0.077283,0.091266,,,,False
CVX,2026-07-31,-0.005712,0.080534,,,,False
CVX,2026-08-14,-0.251866,0.015977,,,,False
CVX,2026-08-31,0.268272,0.030238,,,,False
F,2026-03-31,,,,,,False
F,2026-04-15,-0.087919,0.09657,,,,False
F,2026-04-30,0.06551,-0.050838,,,,False
F,2026-05-15,-0.154921,0.103704,,,,False
F,2026-05-29,0.055488,0.263512,,,,False
F,2026-06-15,-0.12545,-0.166168,,,,False
F,2026-06-30,-0.093683,-0.060709,,,,False
F,2026-07-15,-0.073949,0.019944,,,,False
F,2026-07-31,-0.11606,0.034654,,,,False
F,2026-08-14,0.176533,-0.021343,,,,False
F,2026-08-31,-0.034572,-0.03038,,,,False
GOOGL,2026-03-31,,,,,,False
GOOGL,2026-04-15,-0.020151,0.159007,,,,False
GOOGL,2026-04-30,-0.032079,0.132285,,,,False
GOOGL,2026-05-15,0.082922,0.030658,,,,False
GOOGL,2026-05-29,0.009332,-0.042316,,,,False
GOOGL,2026-06-15,0.080238,-0.029321,,,,False
GOOGL,2026-06-30,-0.045314,-0.032973,,,,False
GOOGL,2026-07-15,-0.087492,0.037215,,,,False
GOOGL,2026-07-31,-0.109708,-0.040691,,,,False
GOOGL,2026-08-14,0.030894,-0.029146,,,,False
GOOGL,2026-08-31,0.06642,-0.019118,,,,False
IBM,2026-03-31,,,,,,False
IBM,2026-04-15,-0.049051,0.009894,,,,False
IBM,2026-04-30,0.013437,-0.05811,,,,False
IBM,2026-05-15,0.178268,-0.05189,,,,False
IBM,2026-05-29,0.128885,0.305981,,,,False
IBM,2026-06-15,-0.020351,-0.102789,,,,False
IBM,2026-06-30,0.135383,0.045469,,,,False
IBM,2026-07-15,-0.035323,-0.286296,,,,False
IBM,2026-07-31,-0.395943,0.057277,,,,False
IBM,2026-08-14,-0.009905,0.046605,,,,False
IBM,2026-08-31,-0.001555,-0.001922,,,,False
JPM,2026-03-31,,,,,,False
JPM,2026-04-15,0.035313,0.039232,,,,False
JPM,2026-04-30,-0.07153,0.023581,,,,False
JPM,2026-05-15,0.074531,-0.050482,,,,False
JPM,2026-05-29,0.055029,0.005024,,,,False
JPM,2026-06-15,0.049602,0.064964,,,,False
JPM,2026-06-30,-0.112895,0.024525,,,,False
JPM,2026-07-15,0.092716,0.058097,,,,False
JPM,2026-07-31,-0.043198,0.013969,,,,False
JPM,2026-08-14,-0.110201,0.030928,,,,False
JPM,2026-08-31,0.048198,-0.018975,,,,False
LMT,2026-03-31,,,,,,False
LMT,2026-04-15,0.054896,0.011041,,,,False
LMT,2026-04-30,-0.089508,-0.165343,,,,False
LMT,2026-05-15,0.109664,-0.003791,,,,False
LMT,2026-05-29,0.036262,0.0276,,,,False
LMT,2026-06-15,0.202704,-0.00017,,,,False
LMT,2026-06-30,0.07904,-0.040205,,,,False
LMT,2026-07-15,-0.119186,0.009766,,,,False
LMT,2026-07-31,-0.134806,0.124623,,,,False
LMT,2026-08-14,-0.128224,0.043552,,,,False
LMT,2026-08-31,0.11792,-0.081162,,,,False
META,2026-03-31,,,,,,False
META,2026-04-15,0.003411,0.160267,,,,False
META,2026-04-30,0.090712,-0.093048,,,,False
META,2026-05-15,0.103743,0.003784,,,,False
META,2026-05-29,0.003787,0.029327,,,,False
META,2026-06-15,-0.073437,-0.063693,,,,False
META,2026-06-30,0.139966,-0.052209,,,,False
META,2026-07-15,0.0929,0.190223,,,,False
META,2026-07-31,-0.184891,-0.201973,,,,False
META,2026-08-14,-0.114756,0.057824,,,,False
META,2026-08-31,0.026703,-0.030135,,,,False
MS,2026-03-31,,,,,,False
MS,2026-04-15,-0.049614,0.152178,,,,False
MS,2026-04-30,-0.058867,-0.00539,,,,False
MS,2026-05-15,0.049238,0.010024,,,,False
MS,2026-05-29,0.17479,0.07739,,,,False
MS,2026-06-15,-0.01976,0.046865,,,,False
MS,2026-06-30,-0.013098,-0.041878,,,,False
MS,2026-07-15,-0.026466,0.089229,,,,False
MS,2026-07-31,-0.255004,-0.082649,,,,False
MS,2026-08-14,0.040102,0.032449,,,,False
MS,2026-08-31,0.066877,-0.018762,,,,False
MSFT,2026-03-31,,,,,,False
MSFT,2026-04-15,0.029393,0.105166,,,,False
MSFT,2026-04-30,-0.052923,-0.008401,,,,False
MSFT,2026-05-15,-0.023084,0.034088,,,,False
MSFT,2026-05-29,0.137488,0.064965,,,,False
MSFT,2026-06-15,0.070641,-0.118916,,,,False
MSFT,2026-06-30,-0.066509,-0.069232,,,,False
MSFT,2026-07-15,0.036492,0.058847,,,,False
MSFT,2026-07-31,-0.127549,0.160956,,,,False
MSFT,2026-08-14,-0.170801,0.06393,,,,False
MSFT,2026-08-31,0.082653,0.023717,,,,False
NVDA,2026-03-31,,,,,,False
NVDA,2026-04-15,0.008731,0.1313,,,,False
NVDA,2026-04-30,-0.001447,0.003514,,,,False
NVDA,2026-05-15,0.048433,0.121357,,,,False
NVDA,2026-05-29,-0.042103,-0.065,,,,False
NVDA,2026-06-15,0.051154,0.006185,,,,False
NVDA,2026-06-30,0.034312,-0.059939,,,,False
NVDA,2026-07-15,0.043925,0.060175,,,,False
NVDA,2026-07-31,-0.10187,-0.056882,,,,False
NVDA,2026-08-14,-0.023196,0.114751,,,,False
NVDA,2026-08-31,0.042264,-0.019645,,,,False
SPCX,2026-06-15,,,,,,False
SPCX,2026-06-30,1.562,-0.119252,,,,False
SPCX,2026-07-15,0.394022,-0.233572,,,,False
SPCX,2026-07-31,0.23025,-0.221721,,,,False
SPCX,2026-08-14,-0.119437,0.256091,,,,False
SPCX,2026-08-31,-0.060188,0.026016,,,,False
TSLA,2026-03-31,,,,,,False
TSLA,2026-04-15,0.08063,0.052913,,,,False
TSLA,2026-04-30,0.075366,-0.026683,,,,False
TSLA,2026-05-15,-0.019521,0.101122,,,,False
TSLA,2026-05-29,0.023098,0.031587,,,,False
TSLA,2026-06-15,0.015927,-0.058202,,,,False
TSLA,2026-06-30,0.011776,0.022724,,,,False
TSLA,2026-07-15,-0.113143,-0.064165,,,,False
TSLA,2026-07-31,-0.030829,-0.23705,,,,False
TSLA,2026-08-14,0.010098,0.095132,,,,False
TSLA,2026-08-31,0.070225,0.072347,,,,False
WFC,2026-03-31,,,,,,False
WFC,2026-04-15,-0.040335,0.008505,,,,False
WFC,2026-04-30,0.069024,0.023875,,,,False
WFC,2026-05-15,0.164226,-0.113324,,,,False
WFC,2026-05-29,-0.073701,0.054598,,,,False
WFC,2026-06-15,0.071104,0.069732,,,,False
WFC,2026-06-30,-0.197707,-0.006032,,,,False
WFC,2026-07-15,0.013749,0.057259,,,,False
WFC,2026-07-31,-0.018813,-0.012187,,,,False
WFC,2026-08-14,-0.013122,0.027046,,,,False
WFC,2026-08-31,0.189161,-0.02774,,,,False
