# K12 timing-jitter audit (stored signal_time stamps). PARTIAL: the sealed 3-offset instrument-error test needs future fixed-offset collection; this reports what stored stamps show.
coin,n_stamped_rows,min_minutes_after_utc_midnight,median_minutes,max_minutes,spread_minutes
ADA,36,0.58,12.88,1039.53,1038.95
AVAX,36,0.58,12.88,1039.53,1038.95
BCH,36,0.58,12.88,1039.53,1038.95
BNB,36,0.58,12.88,1039.53,1038.95
BTC,36,0.58,12.88,1039.53,1038.95
DOGE,36,0.58,12.88,1039.53,1038.95
DOT,36,0.58,12.88,1039.53,1038.95
ETH,36,0.58,12.88,1039.53,1038.95
LINK,36,0.58,12.88,1039.53,1038.95
LTC,36,0.58,12.88,1039.53,1038.95
SOL,36,0.58,12.88,1039.53,1038.95
XRP,36,0.58,12.88,1039.53,1038.95
